nid,openchannels,capacity
1223,5,5600
1224,1,262416
1225,0,0
1226,34,114520003
1227,2,342846
1228,1,100000
1229,1,100000
1230,7,1465844
1231,4,1914788
1232,1,90000
1233,2,40000
1234,0,0
1235,6,1382692
1236,3,290318
1237,0,0
1238,2,800000
1239,2,3520000
1240,1,2030000
1241,1,100000
1242,1,8000000
1243,0,0
1244,1,100000
1245,1,488110
1246,1,25000
1247,1,100000
1248,17,1377000
1249,6,4400000
1250,0,0
1251,0,0
1252,0,0
1253,56,87777279
1254,1,57741
1255,12,3623551
1256,1,90000
1257,2,15000
1258,1,2000
1259,3,300000
1260,0,0
1261,2,191234
1262,1,100000
1263,1,100000
1264,22,15252027
1265,13,96097
1266,13,6185724
1267,9,3397940
1268,3,19000000
1269,0,0
1270,4,550000
1271,2,600000
1272,0,0
1273,0,0
1274,0,0
1275,6,7077819
1276,8,7378515
1277,1,345173
1278,3,650000
1279,1,62117
1280,8,5600000
1281,5,1650000
1282,6,21385431
1283,5,8345447
1284,0,0
1285,48,62681558
1286,24,4067325
1287,0,0
1288,1,3020000
1289,0,0
1290,4,3306778
1291,15,23074508
1292,12,5091000
1293,5,2130813
1294,0,0
1295,0,0
1296,4,2162578
1297,0,0
1298,0,0
1299,3,291703
1300,1,10000000
1301,1,2000
1302,2,1798871
1303,0,0
1304,2,101500
1305,0,0
1306,4,561543
1307,3,570000
1308,0,0
1309,2,40000
1310,3,1134176
1311,0,0
1312,0,0
1313,4,3100000
1314,15,6196848
1315,3,1292655
1316,1,1622135
1317,3,269500
1318,8,2667359
1319,5,2395727
1320,4,2485601
1321,18,8250000
1322,1,60000
1323,3,380000
1324,10,5710730
1325,0,0
1326,1,1050
1327,1,5000000
1328,0,0
1329,1,38155
1330,0,0
1331,0,0
1332,164,434137047
1333,0,0
1334,0,0
1335,0,0
1336,3,1079888
1337,1,2222222
1338,3,75000
1339,4,12586793
1340,1,1000000
1341,2,1400000
1342,0,0
1343,0,0
1344,0,0
1345,1,2000
1346,1,60000
1347,1,20000
1348,2,740000
1349,5,4846984
1350,4,3763683
1351,0,0
1352,2,398936
1353,8,381150
1354,1,5048
1355,2,510000
1356,1,60000
1357,2,100000
1358,0,0
1359,0,0
1360,1,50000
1361,28,73265458
1362,2,222250
1363,2,993950
1364,0,0
1365,1,20000
1366,1,60000
1367,55,14219715
1368,2,532508
1369,13,83347591
1370,1,50000
1371,1,10000
1372,0,0
1373,6,128500
1374,0,0
1375,10,14449037
1376,0,0
1377,0,0
1378,0,0
1379,0,0
1380,0,0
1381,4,1568185
1382,5,830000
1383,3,10664143
1384,0,0
1385,0,0
1386,2,60000
1387,0,0
1388,1,60000
1389,1,1500
1390,0,0
1391,5,102233
1392,3,859794
1393,3,300000
1394,1,2000
1395,0,0
1396,0,0
1397,3,627276
1398,14,18816646
1399,6,7235954
1400,6,909017
1401,1,100000
1402,0,0
1403,2,309429
1404,1,100000
1405,0,0
1406,20,1204612
1407,0,0
1408,5,272778
1409,1,100000
1410,6,600000
1411,1,100000
1412,0,0
1413,1,200000
1414,0,0
1415,2,131213
1416,2,227935
1417,0,0
1418,1,600000
1419,1,1200000
1420,1,100000
1421,1,18000
1422,3,991887
1423,48,59572471
1424,0,0
1425,0,0
1426,20,1109550
1427,2,500000
1428,1,100000
1429,6,850000
1430,0,0
1431,0,0
1432,7,17537706
1433,3,11594866
1434,0,0
1435,1,244553
1436,4,698994
1437,99,88585468
1438,0,0
1439,1,499500
1440,3,410000
1441,2,500000
1442,0,0
1443,0,0
1444,5,1513271
1445,2,600000
1446,1,90000
1447,3,2276803
1448,0,0
1449,115,63192825
1450,2,166740
1451,7,1494008
1452,0,0
1453,0,0
1454,1,426346
1455,2,201150
1456,2,1200000
1457,3,443425
1458,1,100000
1459,27,54363639
1460,9,21078711
1461,3,677368
1462,4,3176842
1463,2,177724
1464,3,140000
1465,2,40000
1466,0,0
1467,4,1211523
1468,1,384318
1469,1,9000000
1470,2,70164
1471,3,4284
1472,0,0
1473,2,25000000
1474,2,3150000
1475,1,1000000
1476,4,19149537
1477,3,987771
1478,1,249737
1479,6,3352348
1480,70,621131718
1481,0,0
1482,0,0
1483,3,533257
1484,1,25347
1485,0,0
1486,1,75000
1487,1,1000000
1488,2,159354
1489,1,100000
1490,0,0
1491,0,0
1492,0,0
1493,0,0
1494,0,0
1495,2,6010000
1496,1,141711
1497,0,0
1498,1,800000
1499,0,0
1500,10,5683708
1501,11,5491289
1502,27,45081437
1503,1,100000
1504,4,550000
1505,5,798698
1506,1,1000000
1507,2,161337
1508,0,0
1509,4,387717
1510,1,40000
1511,0,0
1512,1,500000
1513,0,0
1514,5,1588656
1515,2,170000
1516,6,595307
1517,2,400000
1518,0,0
1519,2,40000
1520,5,5620000
1521,0,0
1522,3,277529
1523,3,80000
1524,2,240000
1525,1,100000
1526,1,60000
1527,3,300000
1528,3,1500000
1529,1,200000
1530,4,1798712
1531,2,600000
1532,2,350000
1533,1,2000
1534,2,144962
1535,1,102355
1536,1,100000
1537,1,49797
1538,2,186918
1539,1,150000
1540,2,527304
1541,0,0
1542,0,0
1543,2,57502
1544,0,0
1545,17,5938518
1546,0,0
1547,1,20000
1548,7,3196000
1549,0,0
1550,0,0
1551,0,0
1552,0,0
1553,34,30254276
1554,0,0
1555,0,0
1556,2,6000000
1557,0,0
1558,1,100000
1559,1,100000
